21/02/2021 19:35:25,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:26,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:27,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:28,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:29,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:30,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:31,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:32,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:33,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:34,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:35:36,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:29,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:30,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:31,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:32,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:33,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:34,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:35,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:36,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:37,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:38,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:40,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:41,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:42,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:43,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:36:44,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:38:01,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:38:02,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:38:03,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:38:03,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:03,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:04,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:05,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:06,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:07,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:08,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:09,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:10,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:12,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:13,25,OFF,OFF,ON,OFF,25
21/02/2021 19:38:14,25,OFF,OFF,ON,OFF,25
21/02/2021 19:39:00,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:01,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:02,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:03,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:04,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:05,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:06,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:07,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:08,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:09,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:10,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:11,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:12,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:13,25,OFF,OFF,OFF,OFF,25
21/02/2021 19:39:14,25,OFF,OFF,OFF,OFF,25
